CID	X	Y	CellType	CellTypeName	Region	Dist2Interface
HumanMelanomaPatient1__cell_159786	5269.49282077905	-4694.31373183584	Fibroblast	Fibroblasts	Inner margin	141.645476503575
HumanMelanomaPatient1__cell_159809	5231.96646162051	-4704.75644737793	Fibroblast	Fibroblasts	Inner margin	118.286847792693
HumanMelanomaPatient1__cell_159817	5499.31180680769	-4703.13574600261	Fibroblast	Fibroblasts	Inner margin	192.997844417426
HumanMelanomaPatient1__cell_159818	5307.00569998419	-4702.44044147833	Fibroblast	Fibroblasts	Inner margin	150.312103505404
HumanMelanomaPatient1__cell_159823	5317.68414048235	-4704.94903653945	Fibroblast	Fibroblasts	Inner margin	147.971621108387
HumanMelanomaPatient1__cell_159836	5281.83617597647	-4713.18241409522	Fibroblast	Fibroblasts	Inner margin	132.227178795148
HumanMelanomaPatient1__cell_159838	5286.87685964533	-4710.45348344971	Fibroblast	Fibroblasts	Inner margin	137.164981102361
HumanMelanomaPatient1__cell_159874	5392.66019953614	-4723.39484312934	Fibroblast	Fibroblasts	Inner margin	125.214708608079
HumanMelanomaPatient1__cell_159883	5498.6737319198	-4723.11765267669	Fibroblast	Fibroblasts	Inner margin	178.482430714432
HumanMelanomaPatient1__cell_159890	5284.61413063929	-4728.37455309003	Fibroblast	Fibroblasts	Inner margin	119.485692823776
HumanMelanomaPatient1__cell_159893	5494.11064046762	-4727.54441956951	Fibroblast	Fibroblasts	Inner margin	172.127376031324
HumanMelanomaPatient1__cell_159918	5490.73268305084	-4737.5738248652	Fibroblast	Fibroblasts	Inner margin	162.94075872258
HumanMelanomaPatient1__cell_159929	5246.65236957964	-4739.82938159999	Fibroblast	Fibroblasts	Inner margin	90.7393950218379
HumanMelanomaPatient1__cell_159978	5231.84937308093	-4755.67929981417	Fibroblast	Fibroblasts	Inner margin	70.9955488455406
HumanMelanomaPatient1__cell_159997	5410.6692574508	-4759.47860610967	Fibroblast	Fibroblasts	Inner margin	94.8991195918834
HumanMelanomaPatient1__cell_160018	5346.62461770943	-4764.25128319556	Fibroblast	Fibroblasts	Inner margin	91.3635266754917
HumanMelanomaPatient1__cell_160035	5271.06760835755	-4771.25666151938	Fibroblast	Fibroblasts	Inner margin	74.5758435414002
HumanMelanomaPatient1__cell_160038	5366.20942887982	-4774.74074565257	Fibroblast	Fibroblasts	Inner margin	74.6508357826243
HumanMelanomaPatient1__cell_160041	5264.74156952439	-4773.24181788034	Fibroblast	Fibroblasts	Inner margin	70.6169028250046
HumanMelanomaPatient1__cell_160051	5384.39908274633	-4778.4582910703	Fibroblast	Fibroblasts	Inner margin	72.0928833937804
